FERT	Year	Value	SE	VALUE
T1	2020	766.29	149.4843213	a
T2	2020	558.8766667	48.46635319	a
T3	2020	276.62	38.47068545	b
T4	2020	287.18	39.58303902	b
T5	2020	268.8183333	30.86187172	b
CONTROL	2020	128.4083333	17.87561327	b
CONTROL	2019	194.7733333	24.15513191	c
T1	2019	1321.765	218.7020741	a
T2	2019	880.34	101.3696109	b
T3	2019	393.305	68.36797807	c
T4	2019	372.985	80.50098247	c
T5	2019	317.94	86.63088228	c
CONTROL	COMBINED	175.0916667	17.66141273	c
T1	COMBINED	1009.028333	178.6542653	a
T2	COMBINED	715.6083333	61.12982186	b
T3	COMBINED	306.0616667	34.62322024	c
T4	COMBINED	301.5816667	55.98909946	c
T5	COMBINED	258.7783333	43.08706754	c
