Taxa	SS_WS12	SS_DS13	SS_DS14
117268	5.03	14.19	15.41
117271	10.52	24.54	27.55
117276	17.62	8.97	8.69
117277	2.99	13.99	5.3
117280	17.13	2.9	21.17
117443	4.71	55.97	9.08
117447	29.5	14.08	10.98
117454	10.69	22.24	24.45
117460	11.03	53.87	24.88
117463	9.61	11.67	13.24
117470	4.73	14.35	17.82
117478	2.41	12.02	13.52
117500	8.76	15.94	22.87
117501	7.82	12.36	12.51
117520	8.59	52.35	13.07
117521	9.56	18.24	19.82
117525	7.43	10.38	5.25
117527	5.17	14.15	14.14
117531	3.4	19.25	5.28
117533	2.24	22.82	9.72
117555	18.01	65.86	54.51
117559	7.53	42.98	13.93
117560	15.2	17.71	22.77
117561	9.28	21.86	10.68
117563	8.97	15.43	17.19
117564	10.05	1.8	12.22
117567	2.83	20.18	2.22
117574	16.73	10.3	21.45
117587	4.56	20.16	11.62
117589	11.39	56.43	12.97
117598	11.19	23.58	17.36
117622	2.83	4.8	7.77
117623	27.6	19.63	30.47
117636	8.23	12.7	16.93
117659	15.53	4.6	17.01
117681	2.31	12.14	14.4
117682	4.45	9.1	11.18
117684	13.83	18.49	20.63
117691	5.05	NaN	16.92
117745	6.33	7.84	10.45
117757	5.55	28.45	16.13
117758	4.83	29	10.12
117784	6.35	7.54	10.91
117793	6.48	27.44	23.26
117817	4.04	15.4	15.09
117826	7.62	5.49	8.11
117829	14.13	39.22	22.35
117840	16.5	19.93	21.1
117841	1.94	8.26	13.33
117848	4.65	16.45	18.01
117849	12.76	18.31	21.65
117880	4.55	24.18	6.1
117881	11.62	21.89	23.71
117907	3.56	9.87	18.33
117912	6.6	20.28	22.59
117915	6.41	10.33	10.76
120855	11.42	21.13	21.79
120856	13.51	27.7	17.34
120859	8.56	22.98	17.57
120860	0.62	16.15	4.75
120861	5.84	8.83	9.1
120862	7.25	15.2	20.72
120863	12.66	20.95	12.89
120867	5.71	33.13	10.36
120878	4.86	15.81	20.73
120879	1.67	16.93	2.86
120882	2.44	13.74	3.48
120885	12.41	47.74	13.79
120892	4.58	13.19	13.98
120893	6.29	6.84	9.85
120895	23.11	14.09	24.23
120904	6.34	33.22	3.84
120909	2.37	2.98	5.36
120912	10.95	12.36	20.28
120913	10.71	25.7	13.43
120914	7.13	9.75	12.34
120916	8.24	21.59	28.37
120924	7.5	13.51	16.44
120925	7.55	14.65	18.3
120929	5.64	9.77	12.51
120939	5.75	3.35	10.91
120946	9.55	7.69	11.95
120947	15.47	12.83	15.98
120948	7.22	24.72	8.12
120949	13.23	7.28	14.56
120952	13.83	17.82	14.74
120958	3.98	15.26	17.4
120959	12.63	19.68	25.65
120964	17.4	8.88	6.57
120970	26.78	4.18	7.69
120972	5.92	5.07	9.91
120977	5.53	27.36	7.99
120979	16.23	28.99	16.65
120981	6.37	23.63	27.88
120982	7.75	17.87	18.81
120983	6.01	17.99	12.96
120984	18.11	38.21	20.18
120986	7.26	17.1	18.53
120987	11.61	13.01	15.53
120988	10.44	20.31	32.42
120994	6.69	20.7	13.93
120998	7.12	6.65	9.22
121001	4.57	5.65	9.1
121010	5.36	5.5	11.5
121011	3.56	4.57	7.1
121015	11.3	31.08	15.8
121016	8.65	19.8	11.21
121019	9.29	26.91	16.45
121020	5.74	27.18	23.35
121023	14.08	16.01	17.65
121024	5.73	6.15	10.56
121028	11.05	12.65	13.15
121034	3.45	7.72	10.47
121035	3.87	24	4.93
121040	6.52	8.2	14.53
121041	9.93	10.9	21.27
121042	2.12	5.02	11.68
121043	6.47	7.05	10.72
121044	4.48	5.42	9.57
121045	4.76	45.51	15.34
121049	4.63	10.86	12.43
121050	13.44	8.96	12.71
121051	9.29	29.13	13.04
121052	29.3	26.8	33.28
121059	7.18	15.76	17.98
121062	6.25	9.58	13.02
121063	5	14.29	18.46
121064	23.32	12.82	8.86
121065	8.62	14.35	14.97
121066	12.85	24.36	17.53
121070	4.74	21.86	21.66
121073	16.02	20.42	21.78
121074	6.28	19.08	6.27
121077	9.68	4.06	10.72
121079	4.74	6.98	9.92
121080	15.54	21.1	7.01
121083	4.65	11.56	13.59
121085	2.18	11.06	21.21
121087	2.36	16.14	18.38
121091	32.79	20.16	11.35
121092	6.86	23.7	12.14
121093	8.74	15.08	16.77
121094	2.52	12.82	15.32
121095	3.81	35.24	16.26
121098	2.75	16.52	12.14
121099	7.15	12.25	14.36
121100	2.63	18.84	20.49
121101	7.44	33.79	9.68
121102	5.08	23.96	8.21
121104	2.58	22.64	8.72
121105	5.22	24.82	6.39
121106	2.96	23.31	11.03
121110	5.66	13.46	14.48
121111	3.41	36.41	15.51
121118	4.57	9.76	14.38
121122	3.86	23.46	3.82
121124	12.23	25.59	13.29
121127	2.84	7.26	15.55
121130	6.51	11.48	10.19
121131	6.58	18.91	21.05
121133	15.19	47.11	49.96
121136	7.39	17.45	22.07
121137	2.71	5.44	6.39
121139	6.7	9.45	22.25
121140	7.13	11.29	15.3
121141	7.87	20.29	20.65
121142	7.17	21.12	21.7
121144	9.15	16.21	21.68
121145	5.33	10.41	5.71
121146	8.91	20.53	10.2
121147	13.56	22.07	12.54
121151	8.67	11.63	22.74
121152	6.67	3.52	17.32
121153	2.33	4.54	4.94
121156	13.83	6.64	7.86
121157	8.01	2.74	8.38
121158	20.96	24.51	28.44
121159	16.91	5.12	10.96
121161	9.11	7.13	10.26
121162	12.21	10.09	15.85
121163	2.93	11.25	11.89
121164	5.97	9.87	14.27
121165	25.34	32.97	13.9
121169	12.9	43.58	25.22
121172	12.49	8.7	13.16
121176	13.98	7.77	9.63
121225	9.36	34.69	13.07
121235	18.38	48.99	28.21
121237	6.81	21.6	9.52
121420	6.54	21.17	6.74
121576	6.95	16.93	17.44
121591	8.57	50.72	9.05
121632	13.01	23.9	18.38
121639	14.05	22.45	19.98
121642	11.42	11.7	14.2
121663	4.3	28.04	5.02
121689	16.27	40.03	15.41
121693	47.01	NaN	18.06
121701	11.65	9.11	17.54
121705	7.37	19.81	22.73
121708	8.06	17.77	20.71
121716	7.38	18.3	16.5
121717	13.94	34.88	19.79
121721	11.98	30.57	10.52
121722	7.3	17.83	13.34
121725	5.78	5.19	14.17
121738	17.16	37.71	17.42
121743	21.85	12.22	16.15
121748	8.65	20.83	8.37
121750	1.42	12.89	15.6
121751	5.81	15.41	16.27
121752	10.05	13.92	15.18
121753	3.34	17.02	20.77
121760	5.35	23.63	25.74
121771	5.3	23.08	25.79
121774	14.02	14.23	13.56
121785	6.41	10.52	15.81
121794	8.29	17.46	20.09
121799	6.51	25.94	6.84
121804	14.44	14.55	16.16
121807	10.48	33.38	37.4
121808	5.95	32.23	16.31
121811	15.41	17.88	22.39
121812	16.84	19.06	20.14
121821	14.29	37.88	21.8
121823	19.54	33.28	19.9
121827	7.96	20.21	32.24
121829	8.95	9.69	10.36
121830	10.87	28.34	28.35
121834	13.4	26.87	19.62
121835	13.44	18.16	19.42
121836	1.46	17.27	13.05
